company,job-title,level,description,job-url,Label
Jefferson Frank,AWS Data Engineer - Remote - Finland,Entry level,"MUST BE LOCATED IN FINLANDJob DescriptionA couple of our clients are looking for AWS Data Engineers in Finland to work on their Greenfield and Brownfield projects. As there are multiple projects the possibilities are great, as you can either choose models a full base option or a billable hour option, which can increase your income drastically. If you want to continue developing yourself with paid certification, these are being offered by them to continue your own development.Skills & Qualifications AWS S3, Airflow, Spark Glue, ETL, Kinesis, Athena, Lambda Python Data AnalysisBenefits Competitive salary Unreal benefits packageThis is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.I specialise in Mobile, Web and Cloud (AWS) recruitment here at Jefferson Frank International, focusing on the placement of highly-skilled candidates in various IT positions (Engineers, Analysts, Architects, Consultants, Project Managers, Management etc.).We are the only global recruitment agency dedicated solely to AWS technology. Jefferson Frank is the AWS recruitment agency of choice. Whether it's a contract, permanent or remote position, we find great people great jobs",https://fi.linkedin.com/jobs/view/aws-data-engineer-remote-finland-at-jefferson-frank-3659944342,0
Canonical,Web Developer,Entry level,"Our mission is great open sourceIt is our mission to make open source software available to people everywhere. We create world-renowned software, impacting the lives of millions of people every day.The web team works in a multi-disciplinary environment with visual designers, UX designers and other developers to bring exciting new web projects to life. We help and learn from each other and constantly strive to improve both our work and our processes.Required Skills And ExperienceDemonstrable experience of work on modern web applicationsA strong understanding of HTML, CSS with SCSS and JavaScriptExperience with Javascript components librariesExperience with TypeScriptExperience with responsive user interfaces for a wide range of devices and browsersExperience with Git or other version control systemsAwareness of SEO best practiceConsideration of accessibility in all aspects of your workA strong understanding of web performance in complex user interfacesAbility to interact with UX, designers and server-side developersCuriosity about technology and a thirst to learnBased in EMEA timezones (Europe, the Middle East and Africa)University degree or equivalent educationUseful experience if you have itFamiliarity with Linux desktop technologiesServer-side languages, such as Python or NodeJSExperience working on a large scale React (with TypeScript) projectA history of open source contributionsRelevant work experienceWho you areWe want a Web Developer who loves what they do. You are passionate about web standards and keep abreast of new developments in our industry. You always look for opportunities to improve your skills. You like to show off what you're working on and also learn from others. You have strong attention to detail and value the design of a product as much as you value the code. You have strong communication skills and maybe even blog once in a while. You're aware of the latest CSS techniques but also know the limitations that developing for a broad audience can bring - actually, you embrace the challenge.In this teamYou'll create high fidelity websites and web apps using the latest incarnations of HTML, CSS (SCSS) and Javascript (React and TypeScript)You'll help maintain existing projects including updating content and adding new pagesYou'll manage incoming requests for updates and liaise with or delegate to other people as necessaryYou'll ensure the standard of our output remains high and consistent across our whole product portfolioYou'll ensure new pages are published according to specification and in compliance with our web style guideYou'll participate in and contribute to our living style guide, Vanilla Framework. Work closely with UX designers and visual designers to implement exemplary user experiences. What we offerAn opportunity to help shape a company and products with a strong influence in the open source communityAn inclusive work environment within a team of friendly people with a broad range of skill sets, from UX designers to copywritersLearning and developmentAnnual compensation reviewRecognition rewardsAnnual leavePriority Pass for travelWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.",https://fi.linkedin.com/jobs/view/web-developer-at-canonical-3724274616,0
Frank Students,React Native -taitoinen ohjelmoija uuden sovelluksemme tekoon,Full-time,"Frank on yli 260 000 käyttäjän mobiilisovellus, josta löydät Suomen parhaat opiskelija-alennukset, opiskelijoille suunnatut työpaikat ja opiskelijakortin. Käyttäjät säästävät avullamme vuosittain miljoonia euroja ja löytävät uusia suuntia uralleen. Olemme osa pohjoismaista Mecenat Groupia, jolla on mm. Ruotsissa vastaava Mecenat-niminen palvelu.Haussa React Native -taitoinen ohjelmoija uuden sovelluksemme tekoonLaajennamme tuotetiimiämme, sillä kehitämme parhaillaan kokonaan uutta versiota sovelluksestamme. Etsimme joukkoon jo muutamia vuosia kokemusta kartuttanutta tai selkeästi seniorimpaa kehittäjää.Odotamme sinulta osaamista useammissa seuraavista osa-alueista:AWS-pilvipalveluista kuten Lambda, API Gateway, S3, DynamoDb jne. TypeScript-kokemusta sekä backend- että frontend-kehityksessäVahva perustuntemus ohjelmistokehityksen periaatteista Kyky tuottaa ymmärrettävää dokumentaatiota ja halua myös dokumentaation ylläpitoon Kokemusta React Native -sovelluskehityksestä monialustaisiin mobiilisovelluksiin TAI erittäin vahva osaaminen React-sovelluskehityksestä (mukaanlukien tilanhallintakirjastot kuten Redux/Mobx)Utelias asenne ja intoa tutkia uusia teknologioita, työkaluja ja menetelmiä Vahvat vuorovaikutustaidot sekä rento asenneTyökielemme on kehitystiimissä ja yhteispalavereissa englanti, mutta tässä roolissa on hyötyä myös sujuvasta suomen kielen osaamisestaKyky työskennellä osana pientä tiimiä, eli proaktiivinen vastuun ottaminen tekemistä vaativista asioista sekä halu auttaa toisia kehittymään (ja saada vastaavasti apua ja oppeja muilta)﻿Halukkuus ja mahdollisuus työskennellä toisinaan myös viihtyisällä toimistollamme on plussaa, joskin valtaosa työstä tehdään meillä nykyäänkin etänäMitä voit odottaa meiltä:Lupaamme tukea sinua matkalla tavoitteisiisi. Meillä arvostetaan tekemällä oppimista sekä eteenpäin tähtäävää asennetta. Emme myöskään kavahda halukkuutta päästä vaikuttamaan yrityksen asioihin tuomalla mielipiteesi esille vaan tiimimme luo yrityksemme arvopohjaa myöten.Meiltä saat tosi mainiot 17 työkaveria ja kannustavan palkan. Frankissa teet töitä opiskelijoiden hyväksi – kirjoittamillasi koodiriveillä on väliä sadoille tuhansille käyttäjille. Yrityksen hierarkia on matala ja työskentelemme oma-aloitteisesti yhteisten tavoitteiden eteen. Arvostamme yksilöitä, mutta teemme töitä tiiminä. Tukea haasteisiin onkin aina saatavilla.Paikka on vakituinen. Tarjoamme kiinteän pohjapalkan, työterveyshuollon, lounassetelit sekä puhelinedun ja tarvitsemasi työvälineet. Toimistomme sijaitsee Fredrikinkatu 55:ssä, aivan Helsingin ydinkeskustassa, palvelujen ja loistavien lounaspaikkojen äärellä. Palkkaamme uuden työntekijän heti sopivan henkilön löydyttyä.Jos haluat kysyä lisää tehtävästä tai Frankista, CTO:mme Alex Latvala vastaa mielellään (sähköposti etunimi[at]frank.fi)!",https://fi.linkedin.com/jobs/view/react-native-taitoinen-ohjelmoija-uuden-sovelluksemme-tekoon-at-frank-students-3709382940,0
Braintrust,Software Engineer - Graphics - Direct Hire [Remote],Entry level,"ABOUT US:Braintrust is a user-owned talent network that connects you with great jobs with no fees or membership costs—so you keep 100% of what you earn.Our promise is to give you the opportunity to uniquely differentiate yourself as a top performer.Our promise to our clients is to help them efficiently discover and hire highly qualified talent like you.ABOUT THE HIRING PROCESS:The hiring process for this role involves completing your Braintrust profile, applying directly to the role on Braintrust, and undergoing a one-time screening to ensure you meet our vetted talent specifications. After this, the hiring team will contact you directly if they believe you are a suitable match.Our process isn't for everyone, that's intentional. If you believe that you are a top candidate for this job, please join our network to give yourself the opportunity to work with top companies.JOB TYPE: Direct Hire/ FTE Position (no agencies/C2C - see notes below)LOCATION: Remote - EuropeSALARY RANGE: $25,000 – $40,000/yr ESTIMATED DURATION: 40h/week - Long termBRAINTRUST JOB ID: 6978 THE OPPORTUNITYAbout UsCollaborative 3D building design tool (Think Figma for building designs).More than 4k users globally with renowned firms like WeWork, Square Yards, etc implementing projects on Snaptrude. Backed by Accel Partners, Foundamental, Tiferes VC among other notable investors.Qualifications 1+ years of graphics development work experience, preferably with exposure to WebGL, threejs, GLSL shaders etc  Very strong fundamentals in Javascript programming & computer graphics  An added benefit if familiar with ExpressJS and/or Django frameworks Strong fundamentals in Algorithms & Data Structures  You learn quickly, regardless of the languages and technologies used  You have experience taking ownership and shipping entire features end-to-end  A strong focus on user experience. You're someone who's passionate about building beautiful, modern UX that people love.  What you’ll be working on Build modular, reusable components and features for our graphics engine  Own & implement modules in the product with a huge amount of autonomy  Find and address graphics & rendering issues  Collaborate with a small and nimble team of engineers Apply Now!Notes:Our employers all have varying legal and geographic requirements for their roles, they trust Braintrust to find them the talent that meet their unique specifications. For that reason, this role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we’d welcome your application.Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.",https://fi.linkedin.com/jobs/view/software-engineer-graphics-direct-hire-remote-at-braintrust-3735402111,1
Mapbox,"Software Development Engineer II, Basemap",Entry level,"Mapbox is the leading real-time location platform for a new generation of location-aware businesses. Mapbox is the only platform that equips organizations with the full set of tools to power the navigation of people, packages, and vehicles everywhere. More than 3.5 million registered developers have chosen Mapbox because of the platform’s flexibility, security and privacy compliance. Organizations use Mapbox applications, data, SDKs and APIs to create customized and immersive experiences that delight their customers. Whether you’re watching the delivery of your grocery order on Instacart, tracking your personal best mile on Strava, monitoring your gas budget on Metromile, or checking today’s forecast on The Weather Channel, Mapbox is the location and maps within those apps.What We Are Working OnThe Basemap team is responsible for the content and cartography of our Mapbox Streets visual map that is used by customers such as Toyota, Rivian, BMW, Y!Japan. The product you’ll be responsible for is seen by more than 700M monthly active users.We're looking for a Senior Software Engineer to join our team to create new maps for Automotive, Logistics, Consumer Applications, Outdoors and Gaming. Your team will work with the machine learning and data curation teams to create more detailed maps and process new data types such as points of interests, popular areas, outdoor and 3D features into maps.Your technical skills and leadership will drive the feature development and operational excellence of these maps. You'll also bring your people management skills to ensure that the team is growing, while delivering on the roadmap. Our team uses a modern data processing stack using Python, Spark, Airflow to process datasets into map tiles using the Mapbox Tiling Service.What You'll DoIn This Role, Expect ToCollaborate with the team to identify and scope out well-defined tasksExecute on the scope and be accountable for delivering on time with qualityDesign systems and make decisions that will keep pace with the rapid growth of Mapbox’s customer base.Promote a culture of operational excellence by meticulously testing and monitoring our systems and code, writing documentation, and being on-call to support the health of our services.Reduce technical debt, share your knowledge, and invest in your teammates’ health and happiness, while optimizing application performance and accelerating feature velocity.Uphold a culture of collaboration, transparency, creativity, inclusion, and data-driven decisions.What We Believe are Important Traits for This Role3+ years of programming experience in building high-quality applications, data pipelines from ingestion to consumption within a big data architecture using Python3+ years of experience with Big Data technologies such as Apache Spark, AWS - EMR, Airflow and AthenaIn-depth understanding of data structures and algorithmsAbility to engage, learn and contribute quickly to the initiativesAble to perform independently all the development tasks, based on designs and specsHigh quality mindset -- write unit tests, proactively remedy defects and follow through to productionA desire to share your expertise through documentation, mentorship, pairing and both written and verbal discussionA desire to work with individuals with diverse backgrounds, perspectives, and experiences.Nice-to-HavesExperience in Terraform/Cloud Formation scripts to develop or support Infrastructure as CodeProficiency in our stack — Node.js, AWS ServicesAn empirical analytical approach. You develop strong hypotheses, conduct spikes, and clearly communicate your findings.What We ValueIn addition to our core values, which are not unique to this position and are necessary for Mapbox leaders:We value high-performing creative individuals who dig into problems and opportunities.We believe in individuals being their whole selves at work. We commit to this through supportive health care, parental leave, flexibility for the things that come up in life, and innovating on how we think about supporting our people.We emphasize an environment of teaching and learning to equip employees with the tools needed to be successful in their function and the company.We strongly believe in the value of growing a diverse team and encourage people of all backgrounds, genders, ethnicities, abilities, and sexual orientations to apply.By applying for this position, you acknowledge that you have received the Mapbox Non-US Privacy Notice for applicants, which is linked here. Completing this application requires you to provide personal data, such as your name and contact information, which is mandatory for Mapbox to process your application. Mapbox is an EEO Employer - Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity",https://fi.linkedin.com/jobs/view/software-development-engineer-ii-basemap-at-mapbox-3692577737,1
Mapbox,"Software Development Engineer II, 3D Graphics",Entry level,"Mapbox is building a live location platform. Our maps represent the ever-evolving world, accessing, aggregating, and adapting anonymous data from millions of sensors and phones in real-time. Mapbox has the exciting opportunity to power devices and products across the next frontier in location-based data. Whether you’re watching the delivery of your grocery order on Instacart, tracking your personal best mile on Strava, sending snaps on Snapchat, monitoring your gas budget on Metromile, or checking today’s forecast on The Weather Channel, Mapbox is the location and maps within those apps. We’re changing how people move by live-mapping the world.What We DoAs the 3D graphics team, we use our engineering skills and curiosity to push the boundaries of what’s possible with interactive maps and how people use location technologies in their daily lives. We work on state-of-the-art platforms, largely open-source, for map interaction and visualization used by millions of people around the globe.What You’ll DoWork on the world’s leading open source vector map rendering engines.Work on the entire graphics chain, from assisting in data processing pipeline creation to rendering.Work with a modern C++14/17 and a modern TypeScript codebase, using the best practices of software engineering and tools.Solve interesting graphics programming, algorithms, and architectural challenges.Improve the project’s performance, stability, maintainability and simplicity.Experiment with new visualization techniques and fast graphics and geometry algorithms; and see them benefit millions of people in consumer mapping applications.What We Believe Are Important Traits For This RoleCuriosity, enthusiasm, eagerness to solve challenging technical problems in the geo and data visualization space using emerging technologies.Empathy and kindness; willingness to learn from different perspectives and patience to help others grow.Strong communication skills and ability to collaborate effectively with distributed teams.Strong in C++, JS/TypeScript, algorithms and performance optimization.Strong in Graphics programming (OpenGL, Metal, Vulkan, WebGL, WebGPU).Strong in 3D Graphic techniques and being able to apply them to a wide range of platforms.Helpful experience that is a plus but not a requirementMaintaining or contributing to open source projects.Location technologies (maps, GIS).Other programming experience (JavaScript, iOS, Android).Embedded platforms (Linux embedded, Android, QNX).What We ValueIn addition to our core values, which are not unique to this position and are necessary for Mapbox leaders:We value high-performing creative individuals who dig into problems and opportunities.We believe in individuals being their whole selves at work. We commit to this through supportive health care, parental leave, flexibility for the things that come up in life, and innovating on how we think about supporting our people.We emphasize an environment of teaching and learning to equip employees with the tools needed to be successful in their function and the company.We strongly believe in the value of growing a diverse team and encourage people of all backgrounds, genders, ethnicities, abilities, and sexual orientations to apply.By applying for this position, you acknowledge that you have received the Mapbox Non-US Privacy Notice for applicants, which is linked here. Completing this application requires you to provide personal data, such as your name and contact information, which is mandatory for Mapbox to process your application. Mapbox is an EEO Employer - Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity",https://fi.linkedin.com/jobs/view/software-development-engineer-ii-3d-graphics-at-mapbox-3655595809,0
University of Helsinki,Postdoctoral Researcher in the field of cancer biology and epigenetics,Entry level,"Research Program Unit at the Faculty of Medicine at the University of Helsinki invites applications for a fixed-term position ofPostdoctoral Researcher from 1 November 2023 until 31 October 2024 with a possibility of extension.The position is available in an Academy of Finland -funded project that investigates the interplay of metabolic reprogramming, epigenetic regulatory landscape, and cancer cell proliferation.The group is working in the field of cancer biology and epigenetics using state-of-the-art methods such as CRISPR-Cas9 genome editing and transcriptional and epigenomic profiling at single-cell resolution (see e.g., Pihlajamaa et al, Nat Biotech 2023). We utilize diverse cellular models and next-generation sequencing techniques to understand the molecular mechanisms controlling oncogenic gene expression programs and cancer growth. The group belongs to the Applied Tumor Genomics Program in the Research Programs Unit of the Faculty of Medicine at the University of Helsinki providing a vibrant research environment and high-quality infrastructure for modern biomedical research.QualificationsA PhD degree in life sciences with excellent academic record. The default assumption is that the degree requirement must be met by the beginning of the employment.Working knowledge of biochemistry, molecular biology, and mammalian cell cultureAbility to work productively both independently and as part of the teamExcellent communication skills in EnglishThe chosen applicant is expected to reside in Finland while employed by the University of Helsinki.In addition, previous experience in CRISPR/Cas9-mediated genome editing and next-generation sequencing-based functional genomics methods and/or computational analysis of genomic datasets is considered a plus, and candidates with proven track record with at least one first-author publication will be given preference.What We OfferSalary of 3300-3600 euros per month depending on the appointee’s qualifications and experience.An exciting project utilizing cutting-edge functional genomics and CRISPR-methods to understand molecular basis of human cancer.A position in an ambitious research group with supportive and positive working culture in an international and multi-disciplinary research environment.Attractive welfare benefits such as occupational health care provided by University of Helsinki (further information at www.helsinki.fi/en/about-us/careers).How To ApplyApplications should be submitted through the University of Helsinki Recruitment System via the ""Apply now"" button. Applicants who are currently employed by the University of Helsinki are requested to submit their application via the SAP Fiori portal at https://msap.sap.helsinki.fi. The closing date for applications is 12 October 2023. Applicants of any gender, linguistic and cultural background or from members of minority groups are welcomed. You can read more about working at the university on our website .For further information on the position, please contact Dr. Päivi Pihlajamaa paivi.pihlajamaa(at) helsinki.fi).For information on the recruitment process, please contact HR Specialist Marja Meresto (hr-ltdk(at) helsinki.fi).About UsThe Faculty of Medicine promotes high quality scientific research. It provides research-based undergraduate and postgraduate education in medicine, dentistry, psychology and logopedics, and an international Master's Programme in Translational Medicine. It also offers psychotherapist education. In addition to its teaching and research activities, the faculty serves as a significant expert organisation in the healthcare sector and contributes to the discourse on ethics in the field. The faculty aims to be one of the best medical research faculties in the world, while reinforcing its status as a distinguished institution of multidisciplinary education in healthcare.The Faculty of Medicine at the University of Helsinki constitutes the academic medical centre together with HUS Helsinki University Hospital and the Helsinki Institute of Life Science (HiLIFE). This medical centre has been successful in international comparisons, ranking among the top 10 medical campuses in Europe and the top 50 globally.Research Programs Unit (RPU) of the Faculty of Medicine consolidates demonstrated research excellence, with focused research programs addressing the greatest challenges in human health.",https://fi.linkedin.com/jobs/view/postdoctoral-researcher-in-the-field-of-cancer-biology-and-epigenetics-at-university-of-helsinki-3724799374,1
Jefferson Frank,QA Engineer/Developer - Espoo - Hybrid,Entry level,"Must be in Finland.Job DescriptionEurope's leading power market, delivers efficient, simple and secure trading across Europe. The company itself is becoming fully Azure orientated and if you are into developing your skills this place can give you the tools for it. The company offers day-ahead and intraday trading, clearing and settlement to customers regardless of size or location.Role & Responsibilities Testing software for the clients development teams. Finding a way to break it and fix it. Spring Demo'sSkills & Qualifications JavaScript for Test Automation Bamboo, Jenkins, Skits Comfortable to run Sprint DemosBenefits Sport Vouchers Company HealthCare & more;This is a brief description of the role, for the full information, simply apply to the role and I will call you to discuss.Twitter: @_JeffersonFrankLinkedIn: https://www.linkedin.com/in/rokas-brancevicius-334697195/Email: r.brancevicius@jeffersonfrank.comPhone: +358 75 3263950Please Note: This is a permanent role. This role is for Finnish residents only. This role does not offer Sponsorship. You must have the right to work in Finland with no restrictions. Some of our roles may be subject to successful background/security checks.If this wasn't exactly the role you were looking for, please apply to this role anyway, just highlight what you are looking for, apply with your CV with a brief overview of what you are looking for (The role, top 3 techs, location, salary).I will call you to discuss your skill-set further, there may be other roles I am working on that you may be suited for.",https://fi.linkedin.com/jobs/view/qa-engineer-developer-espoo-hybrid-at-jefferson-frank-3671478108,0
Canonical,Junior Graphics Kernel Engineer - Ubuntu Linux,Entry level,"Are you passionate about learning new stuff, maybe graphics drivers in the context of the Linux kernel? Or maybe you've mastered a different software development environment and are ready for a new challenge in Linux? Are you looking to work on a great team, where you can apply and grow your knowledge about debian packaging as well as graphics drivers? In this role you will play an integral part in the delivery of Nvidia graphics drivers for our kernels.The Canonical Linux Kernel Team is responsible for developing and maintaining all supported Ubuntu Linux kernels, which run on a variety of platforms and architectures from small embedded devices to standard desktop/server systems to large scale cloud environments. Ubuntu boasts first class support for Nvidia graphics cards, thanks to its constant and prompt delivery of driver updates on all its platforms.For this position we are seeking a candidate that is a recent University graduate or a young professional who is enthusiastic to develop software in multiple areas including security updates, patching, and testing. This person must have a background in software engineering, be motivated to work in a distributed team and willing to travel globally up to 4 times a year for internal and external engineering events.Location: This is a remote role for someone based in the Europe/Middle East/Africa (EMEA) region.What your day will look likeMaintain the NVidia graphics drivers and package new releasesTake personal responsibility for the delivery of graphics driversPatch the kernel driver to work against the latest Ubuntu kernelEnhance and maintain Ubuntu's additions to the NVidia settings panelMaintain Ubuntu's tools for hardware detection and driver installationDiagnose and resolve issues reported by customers and the communityCollaborate regularly and proactively with a globally distributed teamWork closely with external silicon, cloud, or hardware manufacturer delivery teams on bleeding edge platformsWhat we are looking for in youWell-organized, self-starting and able to deliver to fixed schedulesDemonstrated ability to present oneself in a professional manner when interacting with colleagues, business partners, and the open source communityAbility to communicate effectively in English, both written and oralProgramming experience in C, with Python and Bash scriptingSolid background with gitKnowledge of the Linux kernel and kernel subsystems would be a plusDemonstrated experience with kernel patching and debugging is also highly regardedPrior experience with Ubuntu/Debian/Snap packaging would be highly regardedWhat we offer youYour base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, you can ask in the later stages of the recruitment process.Fully remote working environment - we've been working remotely since 2004!Personal learning and development budget of 2,000USD per annumAnnual compensation reviewRecognition rewardsAnnual holiday leaveParental LeaveEmployee Assistance ProgrammeOpportunity to travel to new locations to meet colleagues at 'sprints'Priority Pass for travel and travel upgrades for long haul company eventsAbout CanonicalCanonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.Canonical is an equal opportunity employerWe are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.",https://fi.linkedin.com/jobs/view/junior-graphics-kernel-engineer-ubuntu-linux-at-canonical-3724888617,0
Canonical,Software Engineer - Digital Workplace,Entry level,"The roleOur Workplace Engineering team are a highly performant group which specialises in web architecture and analytics specialists. Building new tools, dashboards and analytics that empower colleagues, managers and executives to make better decisions and deliver better work.About CanonicalCanonical is a pioneer in the digital workplace, established in 2004 with a global, remote-first policy that has delivered world-class open source and sets the pace in cloud, developer and IoT technology.We are dedicated to continually improving to keep Canonical the best at remote work. It's part of our enjoyment of our mission - both to deliver the world's best free software, and to push the boundaries of 21st-century work and collaboration.Our goal is to improve the state of the art even further in key business processes for a distributed team: hiring, collaboration, communication, learning, documentation, development, and open source development. We want to understand our distributed teams as well as we could understand co-located teams. We want to help them work better, be happier, and make better decisions.What you will do:Design and deliver web-based systems and SAASProvide new insights into the Canonical workplace experienceEnable new processes and improve existing workflowsCollaborate proactively with a distributed teamWrite high-quality code to create new featuresDebug issues and produce high-quality code to fix themConsistently provide high-quality code reviews to other engineersDiscuss ideas and collaborate on finding good solutionsEstimate work, set goals and meet themWrite project specifications, and epics and understand the risksUnderstand completion criteria and push work to completionCoaching, mentoring and providing feedback to more junior members of the team, while always developing yourselfConnect to many data sources and provide insightful visualisationsDatabase design and architecture for connected systemsDeveloping new and improved working practices for the companyProviding tooling to support optimised processesLove what you do. Who You AreTo be successful in this team you must be an expert in two or more of the following:Backend web service programming in Python and Node.JSSolid understanding of web development technologies such as HTML, CSS, and JavaScript. Data analytics and statistical analysisNatural language processing, sentiment analysis, machine learningData visualisationThe ideal candidate will use their passion for experimentation and analytics to build tomorrow's tech organisation. This team will help us gain insights into the business and our talent pool, and use those insights to improve the experience of working at Canonical.As a Senior Web Engineer at Canonical, you need an analytical, data-driven mind and a passion to connect and make sense of interesting data from APIs. We focus heavily on the collection of metrics, optimising processes, and ways of working across Canonical. You need to demonstrate leadership, excellence, and consistency and will mentor others in the team.We offerRemote first: 100% remote working with the opportunity to travel to Sprints. We meet a couple of times a year in interesting places all around the world to come together to collaborate. These Sprints see circa 300 people come together. This year we have travelled to Frankfurt, Copenhagen, Montreal and Prague!Personal development: Annual budget allowance and time to focus on areas you want to improve. Compensation: eligibility for annual pay review including bonuses. Recognition: The ability to possibly be rewarded and recognised by others for the work you do. Travel: Priority Pass for lounge access when flying to sprints. International SOS membership to support you whilst travelling. We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.",https://fi.linkedin.com/jobs/view/software-engineer-digital-workplace-at-canonical-3718958070,0
Exove,Node.js Developer,Full-time,"Oletko sinä uusi Node.js Developer Exoven tiimiin?Sytytkö koodaamisesta ja ongelmanratkaisusta? Haluatko olla mukana kehittämässä moderneja sovelluksia ja taistella yhdessä asiakkaan kanssa digiturhautumista vastaan? Meillä olisi sinulle sopiva pesti auki! Haemme joukkoomme uutta Node.js Developeria, jolta löytyy sekä intoa että valmiutta luoda vastuullisia digitaalisia palveluita ammattilaisen ottein. Tässä roolissa pääset vaikuttamaan projektissa tehtäviin ratkaisuihin, aina arkkitehtuurista integraatioihin. Työskentelet osana projektitiimiä, mutta pääset toimimaan roolissa asiakkaan kanssa yhteistyössä myös itsenäisesti.Mikä homma?Node.js Developerina pääset projektitiimisi kanssa vaikuttamaan suoraan asiakkaidemme menestykseen. Löydät asiakkaan liiketoiminnan kannalta oikeat ja kestävät digitaaliset ratkaisut sekä räätälöit toiminnallisuuksia asiakastarpeen mukaan. Asiakkuuksistamme löytyy toimijoita julkishallinnosta, yksityiseltä sektorilta sekä kansainvälisistä tekijöistä.Node.js Developerina työsi tärkeimpiä tehtäviä ovat:Kustomoitujen taustajärjestelmien / mikropalveluiden suunnittelu ja toteutus eri tarpeisiinRajapintojen ja integraatioiden määrittely, totetus ja testausTyösi tulosten esittely tiimille sekä palautteen anto pull requestien muodossaAsiakaskommunikointi ja ratkaisujen muokkaaminen saamasi palautteen pohjaltaMielenkiintoisen tehtävän lisäksi tarjoamme sinulle puitteet ammatilliseen kehittymiseen urapolkumallimme tukemana. Itsenäinen työote on tehtävässä eduksi, mutta emme odota kaikkea osattavan heti, vaan tuemme oppimistasi ja etenemistäsi. Työskentelemme ketteriä menetelmiä noudattaen ja voit tehdä työtä sinulle parhaiten sopien joko toimistolta tai etänä. Millaista osaajaa etsimme?Etsimme sinua, jos omaat jo muutaman vuoden kokemuksen alalta ja olet vahva Node.js-ohjelmoija. Olet perehtynyt teknologioihin sekä ympäristöihin, kuten TypeScript ja Express sekä SQL- tietokantoihin. Integraatiot ja arkkitehtuurisuunnittelu voivat olla sinulle jo tuttuja ennestään.Pilvipalveluihin, kuten AWS ja Azure, sekä sisällönhallintajärjestelmiin, kuten Contentful ja Drupal, sinulla saattaa olla jo kosketuspintaa tai et ainakaan kavahda näihin tutustumista. Arvostamme innokkuuttasi oppia uutta etkä pelkää myöskään sukeltaa itsellesi uusien teknologioiden pariin.Tärkeänä pidämme myös hyvää asennetta ja avoimuutta jakaa osaamistasi muille. Vahvat kommunikaatiotaidot auttavat sinua toimimaan asiakasrajapinnassa sekä tiimityössä kollegoidesi kanssa. Edellytämme myös hyvää englannin kielen taitoa, sillä se on Exoven virallinen työkieli. Kuukausiansio roolissa liikkuu 3600€ - 5300€ välillä, riippuen kokemuksestasi.Kiinnostuitko?Tutustu sivuillamme ja somessa ajatuksiimme, arvoihimme sekä yrityskulttuuriimme. Mikäli uskot olevasi etsimämme henkilö, lähetäthän CV:n ja hakemuksen palkkatoiveesi kera hakulomakkeen kautta viimeistään 21.10.2023.Kaipaamme uutta ystävää porukkaamme mahdollisimman pian ja haastatteluja pidetään jo hakuajalla. Älä jätä siis hakemista viime tinkaan!Exove on suunnittelu- ja ohjelmistoyritys, jossa analyyttisyys ja teknologiaosaaminen yhdistyvät inhimilliseen ymmärrykseen. Yritys keskittyy luomaan digitaalisia ratkaisuja, joiden avulla taistellaan digiturhautumista vastaan. Exove on perustettu vuonna 2006 ja toimii Helsingissä, Oulussa, Tampereella ja Tallinnassa yhteensä lähes 100 hengen voimin. www.exove.comExove on osa PunaMusta Media konsernia.",https://fi.linkedin.com/jobs/view/node-js-developer-at-exove-3728798584,0
